findingId,severity,rule,seed,company,quarter,classification,confidence,observation
A01:sai-train-standard-001:BAL:T10,P1,A01_SALES_FORCE_CONCENTRATION_WITHOUT_OPPORTUNITY,sai-train-standard-001,BAL,10,STANDARD_AI_DESIGN_WEAKNESS,0.9,"市場JPへ営業31/63人（49.2%）を配置したが、JPの取り得る機会は全市場の5.0%（4086t）しかない。未充足の機会が残る市場: CN(未充足機会 39095t), US(未充足機会 22252t), EU(未充足機会 4588t), OTHER(未充足機会 5697t)"
A01:sai-train-standard-001:BAL:T11,P1,A01_SALES_FORCE_CONCENTRATION_WITHOUT_OPPORTUNITY,sai-train-standard-001,BAL,11,STANDARD_AI_DESIGN_WEAKNESS,0.9,"市場JPへ営業31/63人（49.2%）を配置したが、JPの取り得る機会は全市場の5.1%（4349t）しかない。未充足の機会が残る市場: CN(未充足機会 39481t), US(未充足機会 24053t), EU(未充足機会 4765t), OTHER(未充足機会 5920t)"
A01:sai-train-standard-001:BAL:T12,P1,A01_SALES_FORCE_CONCENTRATION_WITHOUT_OPPORTUNITY,sai-train-standard-001,BAL,12,STANDARD_AI_DESIGN_WEAKNESS,0.9,"市場JPへ営業36/72人（50.0%）を配置したが、JPの取り得る機会は全市場の4.3%（3573t）しかない。未充足の機会が残る市場: CN(未充足機会 40157t), US(未充足機会 23588t), EU(未充足機会 3193t), OTHER(未充足機会 4867t)"
A01:sai-train-standard-001:BAL:T13,P1,A01_SALES_FORCE_CONCENTRATION_WITHOUT_OPPORTUNITY,sai-train-standard-001,BAL,13,STANDARD_AI_DESIGN_WEAKNESS,0.9,"市場JPへ営業36/72人（50.0%）を配置したが、JPの取り得る機会は全市場の3.9%（3298t）しかない。未充足の機会が残る市場: CN(未充足機会 45977t), US(未充足機会 20658t), EU(未充足機会 2342t), OTHER(未充足機会 4192t)"
A01:sai-train-standard-001:BAL:T14,P1,A01_SALES_FORCE_CONCENTRATION_WITHOUT_OPPORTUNITY,sai-train-standard-001,BAL,14,STANDARD_AI_DESIGN_WEAKNESS,0.9,"市場JPへ営業36/72人（50.0%）を配置したが、JPの取り得る機会は全市場の3.7%（3060t）しかない。未充足の機会が残る市場: CN(未充足機会 45820t), US(未充足機会 20683t), EU(未充足機会 2028t), OTHER(未充足機会 4083t)"
A01:sai-train-standard-001:BAL:T15,P1,A01_SALES_FORCE_CONCENTRATION_WITHOUT_OPPORTUNITY,sai-train-standard-001,BAL,15,STANDARD_AI_DESIGN_WEAKNESS,0.9,"市場JPへ営業36/72人（50.0%）を配置したが、JPの取り得る機会は全市場の3.7%（3168t）しかない。未充足の機会が残る市場: CN(未充足機会 46391t), US(未充足機会 22741t), EU(未充足機会 2072t), OTHER(未充足機会 4445t)"
A01:sai-train-standard-001:BAL:T16,P1,A01_SALES_FORCE_CONCENTRATION_WITHOUT_OPPORTUNITY,sai-train-standard-001,BAL,16,STANDARD_AI_DESIGN_WEAKNESS,0.9,"市場JPへ営業36/72人（50.0%）を配置したが、JPの取り得る機会は全市場の3.3%（2723t）しかない。未充足の機会が残る市場: CN(未充足機会 46205t), US(未充足機会 22041t), EU(未充足機会 1658t), OTHER(未充足機会 3856t)"
A01:sai-train-standard-001:BAL:T17,P1,A01_SALES_FORCE_CONCENTRATION_WITHOUT_OPPORTUNITY,sai-train-standard-001,BAL,17,STANDARD_AI_DESIGN_WEAKNESS,0.9,"市場JPへ営業41/81人（50.6%）を配置したが、JPの取り得る機会は全市場の3.0%（2421t）しかない。未充足の機会が残る市場: CN(未充足機会 49806t), US(未充足機会 17967t), OTHER(未充足機会 2803t)"
A01:sai-train-standard-001:BAL:T18,P1,A01_SALES_FORCE_CONCENTRATION_WITHOUT_OPPORTUNITY,sai-train-standard-001,BAL,18,STANDARD_AI_DESIGN_WEAKNESS,0.9,"市場JPへ営業45/90人（50.0%）を配置したが、JPの取り得る機会は全市場の3.0%（2683t）しかない。未充足の機会が残る市場: CN(未充足機会 54082t), US(未充足機会 20783t), OTHER(未充足機会 3420t)"
A01:sai-train-standard-001:BAL:T19,P1,A01_SALES_FORCE_CONCENTRATION_WITHOUT_OPPORTUNITY,sai-train-standard-001,BAL,19,STANDARD_AI_DESIGN_WEAKNESS,0.9,"市場JPへ営業50/99人（50.5%）を配置したが、JPの取り得る機会は全市場の2.6%（2243t）しかない。未充足の機会が残る市場: CN(未充足機会 50189t), US(未充足機会 20054t), OTHER(未充足機会 3044t)"
