# Dynamic Scenario 1 benchmark — scenario=baseline seed=ds1-benchmark lifecycle=ON completed=32/32

## A. 市場別 構造需要 vs 実現対象需要（HOSO換算トン、比=実現/構造）
turn	CN_構造	CN_実現	CN_比	US_構造	US_実現	US_比	EU_構造	EU_実現	EU_比	JP_構造	JP_実現	JP_比	OTHER_構造	OTHER_実現	OTHER_比
1	380000	67553	0.178	320000	41463	0.130	260000	32750	0.126	90000	13072	0.145	150000	20050	0.134
8	432600	99203	0.229	345050	81591	0.236	272950	24276	0.089	98880	8555	0.087	160680	22296	0.139
16	586560	136034	0.232	395200	88908	0.225	301600	7207	0.024	108160	2221	0.021	171600	10857	0.063
20	374400	150334	0.402	300300	87034	0.290	228540	3797	0.017	81900	1066	0.013	218300	7349	0.034
24	728000	153620	0.211	448000	80412	0.179	336000	2226	0.007	118720	557	0.005	244070	4981	0.020
28	665998	171836	0.258	432600	77149	0.178	321360	1162	0.004	113300	257	0.002	206000	3494	0.017
32	672000	184757	0.275	440000	73727	0.168	325000	682	0.002	115000	136	0.001	210000	2537	0.012

## B. 追跡対象セル（構造 / 実現）
指標	系列	T1	T8	T16	T20	T24	T28	T32
Japan total	構造	90000	98880	108160	81900	118720	113300	115000
Japan total	実現	13072	8555	2221	1066	557	257	136
Japan VAP	構造	9000	11170	33990	26208	37990	36256	36800
Japan VAP	実現	1307	2619	659	315	165	76	40
Others PD	構造	30000	34386	39468	74427	87865	74160	75600
Others PD	実現	4411	5199	3015	2205	1502	1056	769
Others VAP	構造	4500	5945	7722	45877	58577	49440	50400
Others VAP	実現	601	1001	879	889	690	482	347
China HOSO	構造	357960	404481	543741	345571	669032	534580	386455
China HOSO	実現	58771	84915	114376	115283	105940	109069	110906
China PD	構造	19000	23144	33727	22277	44772	92128	194829
China PD	実現	8106	12540	19288	32220	44268	51719	55830
China VAP	構造	3040	4975	9092	6552	14196	39290	90716
China VAP	実現	676	1747	2371	2831	3412	11048	18021

## C. 市場ウェイト（実現対象需要の構成比、%）
turn	CN	US	EU	JP	OTHER
1	38.6	23.7	18.7	7.5	11.5
8	42.0	34.6	10.3	3.6	9.5
16	55.5	36.3	2.9	0.9	4.4
20	60.2	34.9	1.5	0.4	2.9
24	63.5	33.3	0.9	0.2	2.1
28	67.7	30.4	0.5	0.1	1.4
32	70.6	28.2	0.3	0.1	1.0

## D. Crowding 診断（市場×商品）
turn	mkt	prod	構造需要	対象需要	5社提示	5社成約	外部供給	供給/需要	実現価格	5社シェア%	最大社/5社%	成約社数	未充足提示
1	CN	hoso	357960	58771	12577	12577	46194	1.00	4.443	21.4	27.6	5	0
1	CN	pd	19000	8106	4203	4203	3903	1.00	5.153	51.8	22.8	5	0
1	CN	vap	3040	676	1381	607	68	2.15	5.777	89.9	20.2	5	774
1	US	hoso	204800	26537	7791	7791	18745	1.00	4.488	29.4	27.6	5	0
1	US	pd	96000	12439	8849	8849	3590	1.00	5.251	71.1	22.8	5	0
1	US	vap	19200	2488	6979	2242	245	2.90	6.000	90.1	20.0	5	4737
1	EU	hoso	179400	21942	6627	6627	15315	1.00	4.533	30.2	27.6	5	0
1	EU	pd	67600	9170	6710	6710	2460	1.00	5.342	73.2	22.8	5	0
1	EU	vap	13000	1637	4725	1474	163	2.99	6.174	90.0	20.0	5	3251
1	JP	hoso	50400	7320	1917	1917	5403	1.00	4.555	26.2	27.6	5	0
1	JP	pd	30600	4445	2821	2821	1624	1.00	5.383	63.5	22.8	5	0
1	JP	vap	9000	1307	3271	1172	135	2.61	6.264	89.7	20.1	5	2099
1	OTHER	hoso	115500	15037	4280	4280	10757	1.00	4.420	28.5	27.6	5	0
1	OTHER	pd	30000	4411	3042	3042	1369	1.00	5.138	69.0	22.8	5	0
1	OTHER	vap	4500	601	1636	539	63	2.82	5.776	89.6	20.1	5	1097
8	CN	hoso	404481	84915	17695	17695	67220	1.00	4.235	20.8	26.2	5	0
8	CN	pd	23144	12540	5687	5687	6853	1.00	4.934	45.3	24.3	5	0
8	CN	vap	4975	1747	1911	1570	178	1.20	5.776	89.8	21.5	5	342
8	US	hoso	213586	42454	9570	9570	32884	1.00	4.238	22.5	26.2	5	0
8	US	pd	108346	26001	11172	11172	14829	1.00	4.984	43.0	24.3	5	0
8	US	vap	23118	13136	8619	8619	4516	1.00	5.985	65.6	26.5	5	0
8	EU	hoso	182604	15357	4407	4407	10950	1.00	4.241	28.7	26.2	5	0
8	EU	pd	74788	7092	4439	4439	2653	1.00	5.024	62.6	24.3	5	0
8	EU	vap	15558	1827	2443	1644	183	1.44	6.126	90.0	20.8	5	799
8	JP	hoso	51687	2648	963	963	1684	1.00	4.222	36.4	26.2	5	0
8	JP	pd	36023	3289	2227	2227	1062	1.00	5.016	67.7	24.3	5	0
8	JP	vap	11170	2619	3874	2362	257	1.58	6.172	90.2	20.3	5	1512
8	OTHER	hoso	120349	16096	3958	3958	12138	1.00	4.136	24.6	26.2	5	0
8	OTHER	pd	34386	5199	2772	2772	2427	1.00	4.830	53.3	24.4	5	0
