seed,companyId,turn,period,category,source,code,severity,affectedDecision,affectedMarketOrProduct,before,after,delta,message,threshold,relevantMetric
sai3a-sample-001,BAL,1,2015Q1,sales_effort_capacity,standardAi,SALES_HEADCOUNT_INSUFFICIENT_TOTAL,warning,sales,,,,,実在する営業人員総数（80人）では、全5市場の希望販売量（商品別営業工数を加味）を賄いきれず、すべての市場で販売計画を縮小した。,,salesForceHeadcountTotal
sai3a-sample-001,BAL,1,2015Q1,sales_effort_capacity,standardAi,SALES_REDUCED_FOR_SUPPLY_LIMIT,info,sales,,,,,"市場 ""CN"": 営業人員40人による処理能力（4040.0トン相当）の不足により、当該市場の販売計画を28%へ縮小した。",,scaleFactor
sai3a-sample-001,BAL,1,2015Q1,sales_effort_capacity,standardAi,SALES_REDUCED_FOR_SUPPLY_LIMIT,info,sales,,,,,"市場 ""US"": 営業人員10人による処理能力（2600.0トン相当）の不足により、当該市場の販売計画を73%へ縮小した。",,scaleFactor
sai3a-sample-001,BAL,1,2015Q1,sales_effort_capacity,standardAi,SALES_REDUCED_FOR_SUPPLY_LIMIT,info,sales,,,,,"市場 ""EU"": 営業人員10人による処理能力（2600.0トン相当）の不足により、当該市場の販売計画を73%へ縮小した。",,scaleFactor
sai3a-sample-001,BAL,1,2015Q1,sales_effort_capacity,standardAi,SALES_REDUCED_FOR_SUPPLY_LIMIT,info,sales,,,,,"市場 ""JP"": 営業人員10人による処理能力（2600.0トン相当）の不足により、当該市場の販売計画を73%へ縮小した。",,scaleFactor
sai3a-sample-001,BAL,1,2015Q1,sales_effort_capacity,standardAi,SALES_REDUCED_FOR_SUPPLY_LIMIT,info,sales,,,,,"市場 ""OTHER"": 営業人員10人による処理能力（2600.0トン相当）の不足により、当該市場の販売計画を73%へ縮小した。",,scaleFactor
sai3a-sample-001,BAL,1,2015Q1,market_demand_or_contract,standardAi,CONTRACT_FULFILLMENT_PRIORITY,info,production,,,,,HOSOの未履行契約残（1100トン）を優先して生産計画に織り込む。,,outstandingQuantity
sai3a-sample-001,BAL,1,2015Q1,market_demand_or_contract,standardAi,CONTRACT_FULFILLMENT_PRIORITY,info,production,,,,,PDの未履行契約残（700トン）を優先して生産計画に織り込む。,,outstandingQuantity
sai3a-sample-001,BAL,1,2015Q1,market_demand_or_contract,standardAi,CONTRACT_FULFILLMENT_PRIORITY,info,production,,,,,VAPの未履行契約残（530トン）を優先して生産計画に織り込む。,,outstandingQuantity
sai3a-sample-001,BAL,1,2015Q1,raw_material,standardAi,RAW_MATERIAL_SHORTAGE,warning,procurement,,,,,原料在庫ポジションが必要量に対して低水準のため、調達量を増加させる。,,inventoryPosition
sai3a-sample-001,BAL,1,2015Q1,cash_constraint,standardAi,CASH_BUFFER_SHORTAGE,warning,finance,,,,,"現金(20,000,000 USD)が会社規模連動の最低バッファ(30,558,600 USD)を下回る見込みのため、通常融資を申請する。",,cashUsd
sai3a-sample-001,BAL,1,2015Q1,other,standardAi,CAPEX_DEFERRED,info,capex,,,,,当期はいずれの能力区分にもボトルネックが観測されないため、設備投資を見送る（既定の正常な結果）。,,
sai3a-sample-001,BAL,1,2015Q1,cash_constraint,companyLab,PROCUREMENT_CASH_CONSTRAINED,warning,procurement,,13135,4800,-8335,現金不足のため国内買付を37%へ縮小（必要32837500USD、利用可能12000000USD）。,0.3654358583936049,scaleRatio
